                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.62912,                0.72791,                 1.1473,                0.75744,                0.75263,                0.76193,                0.56605,                0.94551,                 1.1472,                 1.5033,             0.00026932,             0.00026932,             0.00026932
                     36,                0.62781,                0.72649,                 1.1608,                0.71146,                0.76911,                0.80316,                0.62135,                0.84458,                0.99259,                 1.4251,             0.00026536,             0.00026536,             0.00026536
                     37,                0.66335,                0.68498,                 1.1708,                0.76619,                0.75159,                0.79547,                0.60589,                0.85881,                0.99605,                 1.4287,              0.0002614,              0.0002614,              0.0002614
                     38,                 0.6304,                0.66845,                 1.1401,                0.78712,                0.70242,                 0.7989,                0.60785,                0.90048,                 1.1261,                   1.47,             0.00025744,             0.00025744,             0.00025744
                     39,                0.61242,                0.64377,                 1.1281,                0.71456,                0.75941,                0.79184,                0.56921,                0.96144,                 1.1203,                 1.5284,             0.00025348,             0.00025348,             0.00025348
                     40,                 0.6124,                0.63844,                 1.1321,                0.79802,                 0.7271,                0.77449,                0.57538,                0.91333,                 1.1404,                  1.499,             0.00024952,             0.00024952,             0.00024952
                     41,                0.58432,                0.64288,                 1.1076,                 0.7447,                0.72251,                0.78275,                 0.5754,                0.96522,                 1.1901,                 1.5458,             0.00024556,             0.00024556,             0.00024556
                     42,                0.59892,                0.64301,                  1.126,                0.74924,                0.70526,                0.78914,                0.57313,                0.98434,                 1.1317,                 1.5553,              0.0002416,              0.0002416,              0.0002416
                     43,                 0.5957,                0.62392,                 1.1275,                0.75444,                 0.7868,                0.80469,                0.60867,                0.89376,                0.95445,                 1.4388,             0.00023764,             0.00023764,             0.00023764
                     44,                0.60155,                0.63034,                 1.1401,                0.72975,                0.71247,                0.78797,                0.60193,                 0.9155,                 1.0633,                 1.4594,             0.00023368,             0.00023368,             0.00023368
                     45,                0.58052,                0.62645,                 1.1207,                0.66328,                0.69897,                0.75027,                 0.5909,                 0.9117,                 1.1567,                 1.4421,             0.00022972,             0.00022972,             0.00022972
                     46,                0.57077,                0.61989,                 1.1204,                0.74958,                0.70073,                 0.7821,                0.58125,                0.91368,                 1.1208,                 1.4415,             0.00022576,             0.00022576,             0.00022576
                     47,                0.58338,                0.61711,                 1.1155,                0.82532,                0.62089,                0.76332,                0.58914,                0.88652,                 1.0999,                 1.4037,              0.0002218,              0.0002218,              0.0002218
                     48,                0.56909,                 0.5824,                 1.0989,                0.73276,                 0.6711,                0.73539,                0.55666,                0.95531,                 1.3034,                 1.5292,             0.00021784,             0.00021784,             0.00021784
                     49,                0.57181,                0.58362,                 1.1197,                0.72951,                0.71324,                0.77916,                0.57648,                0.96075,                 1.0775,                 1.5287,             0.00021388,             0.00021388,             0.00021388
                     50,                0.59454,                0.56155,                 1.1124,                0.72793,                0.75065,                0.74963,                0.57059,                0.93432,                 1.0655,                 1.4899,             0.00020992,             0.00020992,             0.00020992
                     51,                0.55789,                0.56957,                  1.108,                0.80139,                0.74925,                  0.817,                0.64055,                 0.8856,                0.91869,                 1.4511,             0.00020596,             0.00020596,             0.00020596
                     52,                 0.5534,                0.57197,                 1.1047,                0.81458,                0.77587,                0.81436,                0.63185,                0.90698,                0.94345,                 1.4759,               0.000202,               0.000202,               0.000202
                     53,                0.56147,                0.55663,                 1.1099,                0.76885,                0.79359,                 0.8107,                 0.6092,                0.92773,                0.92121,                  1.498,             0.00019804,             0.00019804,             0.00019804
                     54,                0.56708,                0.56218,                 1.1211,                0.76563,                0.77395,                0.79456,                0.61084,                 0.9528,                0.93708,                 1.5438,             0.00019408,             0.00019408,             0.00019408
                     55,                0.55492,                0.55432,                 1.0975,                0.71357,                0.78196,                0.79932,                0.61739,                0.89122,                0.89959,                 1.4437,             0.00019012,             0.00019012,             0.00019012
                     56,                0.52731,                0.51051,                 1.0826,                0.67062,                0.79941,                0.78181,                0.61942,                 0.8503,                 1.0062,                 1.4087,             0.00018616,             0.00018616,             0.00018616
                     57,                0.54855,                0.54095,                 1.0901,                0.76886,                0.74137,                0.78014,                0.61138,                0.90068,                 1.0286,                 1.4916,              0.0001822,              0.0001822,              0.0001822
                     58,                0.51477,                0.51226,                 1.0711,                0.77287,                0.71901,                0.80476,                0.63195,                0.85009,                  1.067,                 1.4243,             0.00017824,             0.00017824,             0.00017824
                     59,                0.53617,                0.53026,                 1.0971,                0.72332,                0.79754,                 0.7821,                0.61569,                0.83367,                 1.0463,                  1.389,             0.00017428,             0.00017428,             0.00017428
                     60,                0.54706,                0.54206,                 1.1016,                0.73417,                0.80546,                 0.8027,                0.63173,                0.83911,                0.94318,                 1.4037,             0.00017032,             0.00017032,             0.00017032
